player_name
Albania - Medon Berisha
Albania - Ernest Muçi
Albania - Ardian Ismajli
Albania - Mirlind Daku
Albania - Ylber Ramadani
Albania - Kristjan Asllani
Albania - Amir Abrashi
Albania - Thomas Strakosha
Albania - Marash Kumbulla
Albania - Naser Aliji
Albania - Arbër Hoxha
Slovenia - Jan Oblak (captain)
Slovenia - Žan Karničnik
Slovenia - Jure Balkovec
Slovenia - Miha Blažič
Slovenia - Jon Gorenc Stanković
Slovenia - Jaka Bijol
Slovenia - Benjamin Verbič
Slovenia - Sandi Lovrić
Slovenia - Andraž Šporar
Slovenia - Timi Max Elšnik
Slovenia - Benjamin Šeško
Slovenia - Vid Belec
Slovenia - Erik Janža
Slovenia - Jasmin Kurtić
Slovenia - Tomi Horvat
Slovenia - Igor Vekić
Slovenia - Jan Mlakar
Slovenia - Žan Vipotnik
Slovenia - Žan Celar
Slovenia - Petar Stojanović
Slovenia - Vanja Drkušić
Slovenia - Adam Gnezda Čerin
Slovenia - David Brekalo
Slovenia - Nino Žugelj
Slovenia - Adrian Zeljković
Slovenia - Josip Iličić
Danmark - Kasper Schmeichel
Danmark - Joachim Andersen
Danmark - Jannik Vestergaard
Danmark - Simon Kjær (captain)
Danmark - Joakim Mæhle
Danmark - Andreas Christensen
Danmark - Mathias Jensen
Danmark - Thomas Delaney
Danmark - Rasmus Højlund
Danmark - Christian Eriksen
Danmark - Andreas Skov Olsen
Danmark - Kasper Dolberg
Danmark - Mathias Jørgensen
Danmark - Mikkel Damsgaard
Danmark - Christian Nørgaard
Danmark - Mads Hermansen
Danmark - Victor Kristiansen
Danmark - Alexander Bah
Danmark - Jonas Wind
Danmark - Yussuf Poulsen
Danmark - Morten Hjulmand
Danmark - Frederik Rønnow
Danmark - Pierre-Emile Højbjerg
Danmark - Anders Dreyer
Danmark - Rasmus Kristensen
Danmark - Jacob Bruun Larsen
Serbia - Predrag Rajković
Serbia - Strahinja Pavlović
Serbia - Nemanja Stojić
Serbia - Nikola Milenković
Serbia - Nemanja Maksimović
Serbia - Nemanja Gudelj
Serbia - Dušan Vlahović
Serbia - Luka Jović
Serbia - Aleksandar Mitrović
Serbia - Dušan Tadić (captain)
Serbia - Filip Kostić
Serbia - Đorđe Petrović
Serbia - Miloš Veljković
Serbia - Andrija Živković
Serbia - Srđan Babić
Serbia - Srđan Mijailović
Serbia - Ivan Ilić
Serbia - Petar Ratkov
Serbia - Lazar Samardžić
Serbia - Sergej Milinković-Savić
Serbia - Mijat Gaćinović
Serbia - Saša Lukić
Serbia - Vanja Milinković-Savić
Serbia - Uroš Spajić
Serbia - Filip Mladenović
Serbia - Veljko Birmančević
England - Jordan Pickford
England - Kyle Walker
England - Luke Shaw
England - Declan Rice
England - John Stones
England - Marc Guéhi
England - Bukayo Saka
England - Trent Alexander-Arnold
England - Harry Kane (captain)
England - Jude Bellingham
England - Phil Foden
England - Kieran Trippier
England - Aaron Ramsdale
England - Ezri Konsa
England - Lewis Dunk
England - Conor Gallagher
England - Ivan Toney
England - Anthony Gordon
England - Ollie Watkins
England - Jarrod Bowen
England - Eberechi Eze
England - Joe Gomez
England - Dean Henderson
England - Cole Palmer
England - Adam Wharton
England - Kobbie Mainoo
Polen - Wojciech Szczęsny
Polen - Bartosz Salamon
Polen - Paweł Dawidowicz
Polen - Sebastian Walukiewicz
Polen - Jan Bednarek
Polen - Jakub Piotrowski
Polen - Karol Świderski
Polen - Jakub Moder
Polen - Robert Lewandowski (captain)
Polen - Piotr Zieliński
Polen - Kamil Grosicki
Polen - Łukasz Skorupski
Polen - Taras Romanczuk
Polen - Jakub Kiwior
Polen - Tymoteusz Puchacz
Polen - Adam Buksa
Polen - Damian Szymański
Polen - Bartosz Bereszyński
Polen - Przemysław Frankowski
Polen - Sebastian Szymański
Polen - Nicola Zalewski
Polen - Marcin Bułka
Polen - Krzysztof Piątek
Polen - Bartosz Slisz
Polen - Michał Skóraś
Polen - Kacper Urbański
Nederland - Bart Verbruggen
Nederland - Lutsharel Geertruida
Nederland - Matthijs de Ligt
